time,ax,ay,az,atotal
0.005474090576171875,0.75,0.56,0.6,1.11
0.015284061431884766,0.85,0.36,-0.29,0.96
0.022136211395263672,0.42,0.15,-0.99,1.08
0.033625125885009766,-0.24,0.32,-1.75,1.79
0.04224419593811035,-0.59,0.4,-1.88,2.01
0.052114009857177734,-0.67,0.31,-0.82,1.1
0.09019899368286133,-0.59,0.2,-0.07,0.62
0.09109020233154297,-0.19,0.31,0.21,0.41
0.09166312217712402,0.02,0.29,0.39,0.48
0.09826922416687012,0.13,0.06,0.14,0.2
0.10216522216796875,0.19,0.13,-0.13,0.26
0.11594414710998535,0.28,0.29,-0.48,0.62
0.12238216400146484,0.31,0.33,-0.63,0.77
0.1325221061706543,0.33,0.39,-0.69,0.85
0.14236927032470703,0.3,0.48,-0.63,0.84
0.15218830108642578,0.2,0.55,-0.56,0.81
0.19123506546020508,0.14,0.57,-0.6,0.83
0.19216632843017578,0.15,0.6,-0.8,1.01
0.1927332878112793,0.24,0.67,-0.96,1.19
0.19672107696533203,0.34,0.66,-1.04,1.27
0.2023022174835205,0.38,0.6,-1.03,1.25
0.2172532081604004,0.26,0.56,-0.97,1.14
0.22210121154785156,0.11,0.52,-0.88,1.02
0.23231911659240723,0.08,0.48,-0.83,0.96
0.24228429794311523,0.11,0.47,-0.75,0.89
0.25241518020629883,0.18,0.48,-0.58,0.77
0.2906031608581543,0.12,0.43,-0.37,0.57
0.2912771701812744,-0.08,0.4,-0.23,0.46
0.2920811176300049,-0.25,0.46,-0.34,0.62
0.29939699172973633,-0.2,0.62,-0.66,0.92
0.30225419998168945,-0.01,0.75,-0.85,1.13
0.3157961368560791,0.15,0.85,-0.94,1.27
0.3224971294403076,0.26,0.91,-0.58,1.11
0.3323030471801758,0.28,0.82,0.11,0.87
0.3424830436706543,0.23,0.61,0.73,0.97
0.3526430130004883,0.05,0.34,1.3,1.34
0.3920712471008301,-0.18,0.12,1.61,1.62
0.392747163772583,-0.28,-0.03,1.73,1.75
0.3936152458190918,-0.27,-0.09,1.65,1.67
0.39685511589050293,-0.18,0.0,1.35,1.36
0.4024691581726074,-0.1,0.21,0.99,1.01
0.416201114654541,0.05,0.42,0.69,0.8
0.4225962162017822,0.25,0.54,0.47,0.75
0.43231916427612305,0.4,0.6,0.26,0.76
0.44254207611083984,0.55,0.6,0.0,0.81
0.4527702331542969,0.66,0.61,-0.24,0.93
0.4912071228027344,0.67,0.63,-0.54,1.06
0.49232912063598633,0.68,0.62,-0.71,1.16
0.4929471015930176,0.72,0.6,-0.65,1.14
0.4968452453613281,0.69,0.55,-0.56,1.04
0.5026061534881592,0.7,0.48,-0.74,1.12
0.515841007232666,0.65,0.46,-0.95,1.23
0.5227270126342773,0.58,0.48,-1.14,1.36
0.5325050354003906,0.59,0.51,-1.37,1.57
0.5426483154296875,0.7,0.55,-1.52,1.76
0.5525622367858887,0.79,0.64,-1.56,1.86
0.591057300567627,0.7,0.71,-1.41,1.72
0.5918459892272949,0.54,0.69,-1.14,1.43
0.5924661159515381,0.42,0.59,-0.86,1.12
0.5975611209869385,0.12,0.45,-0.54,0.71
0.6026301383972168,-0.08,0.27,-0.3,0.41
0.6158170700073242,-0.2,0.07,-0.15,0.25
0.6227231025695801,-0.22,-0.06,-0.06,0.23
0.6325151920318604,-0.22,0.01,-0.27,0.34
0.6427021026611328,-0.05,0.28,-0.67,0.72
0.6527910232543945,0.29,0.57,-1.26,1.41
0.6910653114318848,0.37,0.99,-1.75,2.04
0.6919372081756592,0.23,1.52,-2.14,2.63
0.6925661563873291,0.15,2.0,-2.66,3.33
0.696892261505127,0.0,2.46,-3.05,3.91
0.702754020690918,-0.11,2.74,-3.11,4.14
0.7158050537109375,0.12,2.94,-2.67,3.97
0.7228250503540039,0.08,3.21,-2.38,3.99
0.7326869964599609,0.25,3.09,-2.06,3.72
0.7427961826324463,0.43,3.02,-1.93,3.6
0.7529971599578857,0.44,3.23,-2.47,4.08
0.7913761138916016,0.26,3.62,-2.87,4.62
0.7922542095184326,0.03,4.07,-3.38,5.29
0.7928831577301025,-0.52,4.74,-3.01,5.63
0.7968993186950684,-1.05,5.65,-0.84,5.8
0.802828311920166,-0.43,5.55,0.86,5.63
0.8156421184539795,0.28,4.52,1.67,4.82
0.8227851390838623,0.77,3.71,2.35,4.45
0.8327631950378418,0.7,3.54,2.41,4.33
0.8428611755371094,0.34,3.59,2.19,4.21
0.8530130386352539,-0.11,3.59,1.44,3.86
0.8918972015380859,-0.55,3.62,0.45,3.68
0.8925821781158447,-0.59,3.6,-0.75,3.72
0.8935632705688477,-0.52,3.92,-1.7,4.3
0.8983073234558105,-0.17,4.57,-2.11,5.03
0.902825117111206,0.63,4.76,-2.82,5.56
0.9157552719116211,0.81,5.2,-3.16,6.13
0.9228951930999756,-0.11,5.88,-2.51,6.39
0.9327492713928223,-1.22,5.66,-1.16,5.9
0.9428861141204834,-1.82,4.39,0.01,4.75
0.9530701637268066,-1.76,3.46,0.99,4.0
0.9913420677185059,-0.93,3.33,0.96,3.58
0.992199182510376,0.51,4.0,-0.28,4.04
0.9928162097930908,1.61,4.91,-1.99,5.53
0.9970991611480713,1.75,5.18,-3.11,6.29
1.00291109085083,1.16,4.84,-3.27,5.95
1.0156340599060059,0.09,4.1,-2.54,4.82
1.0229082107543945,-1.5,3.48,-1.55,4.09
1.0328881740570068,-2.25,2.85,-0.65,3.68
1.04307222366333,-1.82,2.7,1.04,3.41
1.0531041622161865,-0.26,2.79,2.2,3.56
1.0913331508636475,1.37,3.27,2.6,4.39
1.0921452045440674,1.99,5.07,2.11,5.84
1.0928030014038086,1.51,5.93,1.23,6.24
1.097008228302002,-0.23,6.32,0.72,6.36
1.1030011177062988,-1.55,7.18,1.59,7.51
1.1158123016357422,-1.29,6.54,2.61,7.15
1.1231160163879395,-1.42,4.84,3.79,6.3
1.1329550743103027,-2.25,3.7,5.1,6.69
1.1431641578674316,-3.16,3.39,6.52,7.99
1.1532361507415771,-3.93,4.19,7.65,9.56
1.1891071796417236,-3.79,5.34,8.13,10.43
